"","LSOA","age_rank","edu_rank","disab_rank","children_rank","housing_rank","income_rank","final_BII_RANK","rank_sum","final_BDDI_RANK"
"1","E01000001",25850,75,1520,33285,5424,21,22248,88423,7610
"2","E01000002",19336,52,1692,33515,6527,2525,23518,87165,7282
"3","E01000003",16235,1125,7595,33576,27124,14581,5083,105319,12532
"4","E01000005",4661,14161,17390,26557,33550,27400,21167,144886,25295
"5","E01000006",3556,19207,2542,1054,7877,19268,7814,61318,2138
"6","E01000007",289,7352,784,4372,29527,27357,23980,93661,9046
"7","E01000008",549,20211,3656,327,32771,30267,6840,94621,9310
"8","E01000009",4126,22493,5210,5307,22624,26041,7639,93440,8997
"9","E01000011",2602,25393,1404,865,10485,24495,4242,69486,3417
"10","E01000012",564,14991,1927,162,26675,29103,11210,84632,6636
"11","E01000013",4192,26739,10600,1068,27421,27706,8241,105967,12733
"12","E01000014",4188,26250,10699,2714,28418,26403,21830,120502,17456
"13","E01000015",1964,22551,3730,632,27581,27902,22845,107205,13136
"14","E01000016",3867,20921,4379,1204,27929,26885,24771,109956,14014
"15","E01000017",4784,25623,14711,3192,28895,29651,9155,116011,16035
"16","E01000018",3305,24404,8460,2619,29615,27656,10057,106116,12767
"17","E01000019",2996,23696,7161,274,25177,26551,2888,88743,7704
"18","E01000020",5429,24170,16456,922,27729,27903,6194,108803,13653
"19","E01000021",3231,23486,9330,1192,26061,28678,292,92270,8671
"20","E01000022",4748,21957,3965,1282,25170,26625,5350,89097,7795
"21","E01000024",3474,23501,10011,1440,27769,23445,7850,97490,10112
"22","E01000025",5544,25965,8304,2993,30237,28065,7071,108179,13430
"23","E01000027",3840,27121,17581,344,31179,27904,8804,116773,16267
"24","E01000028",6326,22404,11816,1425,32051,30086,715,104823,12371
"25","E01000029",19757,23552,10245,7568,12381,18735,3362,95600,9576
"26","E01000030",1902,21751,11333,256,32952,30228,13782,112204,14781
"27","E01000031",11261,15573,5355,4883,11119,20385,4525,73101,4134
"28","E01000032",8345,23376,9978,3342,19509,22597,9384,96531,9836
"29","E01000033",5992,26891,17928,2038,31777,29953,10789,125368,19054
"30","E01000034",14921,24281,24367,6191,29805,27905,18461,145931,25602
"31","E01000035",9806,25971,11008,2379,23240,22980,18463,113847,15340
"32","E01000036",6850,21022,5854,2787,8669,18612,18869,82663,6169
"33","E01000037",11392,22963,4627,7585,6444,16244,11759,81014,5776
"34","E01000038",12854,24066,8347,5201,17502,20495,3729,92194,8650
"35","E01000039",10249,17996,8361,4958,18567,20496,22607,103234,11901
"36","E01000040",4511,27999,5136,1335,30257,28009,66,97313,10060
"37","E01000041",4354,24276,5098,655,27597,24922,12992,99894,10859
"38","E01000042",1644,19981,11221,1287,30820,30199,7996,103148,11865
"39","E01000043",6258,22749,6850,2423,27157,22679,6910,95026,9406
"40","E01000044",1384,20881,4958,1445,21945,21201,3071,74885,4464
"41","E01000045",4025,21791,8364,1243,28516,26121,9318,99378,10709
"42","E01000046",3360,22849,10089,1381,29152,24747,11964,103542,11989
"43","E01000049",668,23587,4080,199,33151,31184,9478,102347,11596
"44","E01000050",3587,15657,3827,1625,24585,25231,17918,92430,8720
"45","E01000051",253,2638,98,2203,31049,28876,20605,85722,6905
"46","E01000052",3207,22223,3421,627,23768,26122,6814,86182,7028
"47","E01000053",8149,25239,11887,4878,28862,28630,11872,119517,17158
"48","E01000054",6340,24120,7433,817,28804,25528,12258,105300,12527
"49","E01000055",5024,24705,9696,1408,29077,27611,5662,103183,11877
"50","E01000056",6513,26070,20290,1195,31124,26763,11081,123036,18240
"51","E01000057",5374,23278,8212,698,30005,26701,5890,100158,10940
"52","E01000058",2196,23111,9054,1078,27545,26886,15866,105736,12655
"53","E01000059",9787,25859,16767,2219,28687,25232,11679,120230,17369
"54","E01000060",4600,22674,10649,2112,30719,27064,27715,125533,19118
"55","E01000061",1262,25049,19286,2334,33459,31307,18981,131678,21078
"56","E01000062",6851,21602,7101,2622,26575,22163,14347,101261,11253
"57","E01000063",4610,23399,10244,1648,27896,25602,9596,102995,11820
"58","E01000064",6260,22400,14936,2242,25893,28000,17235,116966,16343
"59","E01000065",9849,26222,20394,7324,31227,28414,22076,145506,25486
"60","E01000066",5766,20753,3260,1142,23954,22680,1715,79270,5401
"61","E01000067",5844,18368,4707,690,20073,21090,283,71055,3718
"62","E01000068",6088,20929,6099,2416,3002,20039,911,59484,1868
"63","E01000069",4484,19280,1365,791,5046,14761,82,45809,613
"64","E01000070",7854,15911,6072,1824,9438,18344,4433,63876,2518
"65","E01000071",4893,15121,2436,1191,18056,20869,4395,66961,2987
"66","E01000072",3161,24770,10571,639,30395,29590,8983,108109,13411
"67","E01000073",5831,24572,8006,1458,28513,27475,7562,103417,11956
"68","E01000074",4071,25206,9559,1505,30054,28877,7082,106354,12863
"69","E01000075",6138,24062,8400,1975,27123,26702,9358,103758,12051
"70","E01000076",3653,28736,15333,3990,30240,26874,13635,122461,18073
"71","E01000077",3779,26575,9519,2392,29808,29704,6292,108069,13399
"72","E01000078",2592,27245,13560,662,28117,28581,20792,121549,17791
"73","E01000079",6881,22964,10081,2343,27906,28941,7375,106491,12914
"74","E01000080",1950,23887,13751,1769,29081,26260,16436,113134,15086
"75","E01000081",3373,24692,5814,1289,26909,24050,18134,104261,12207
"76","E01000082",3838,23268,10853,3540,28333,23704,15720,109256,13789
"77","E01000083",3802,28148,18295,850,27718,26703,6569,112085,14748
"78","E01000084",5583,28478,11133,2270,29434,28631,19620,125149,18969
"79","E01000085",5851,26946,9283,2447,30521,26186,12474,113708,15293
"80","E01000086",6090,26477,12819,1208,28894,28010,13251,116749,16260
"81","E01000087",3484,24956,4301,667,28113,28467,24064,114052,15407
"82","E01000088",7582,20585,10684,574,17537,22681,13840,93483,9006
"83","E01000089",3306,24383,743,799,16650,23523,20464,89868,7990
"84","E01000090",3665,23448,2089,977,18581,24663,19590,93013,8882
"85","E01000091",1574,21928,13267,471,32574,30191,2231,102236,11560
"86","E01000093",1748,25513,12031,2674,32202,30385,19633,124186,18637
"87","E01000094",244,9463,554,155,30385,24314,18572,83687,6405
"88","E01000095",1420,17319,3950,190,28138,26688,21442,99147,10654
"89","E01000096",1033,19544,8531,25,31190,30041,22278,112642,14926
"90","E01000097",6687,27820,11131,2428,29694,28908,2071,108739,13623
"91","E01000098",3626,24379,15032,952,27584,28675,10600,110848,14324
"92","E01000099",1361,16917,3740,623,26359,25066,16043,90109,8047
"93","E01000100",3320,25134,13727,535,29424,23878,8790,104808,12366
"94","E01000101",5515,26410,12846,1698,28877,29822,17891,123059,18245
"95","E01000102",4712,27772,10723,933,29539,30647,11838,116164,16097
"96","E01000103",2910,19806,4329,589,27746,25529,16586,97495,10116
"97","E01000104",2644,21117,8262,2174,32287,28250,27761,122495,18083
"98","E01000105",4925,24891,14354,4182,32790,29447,18237,128826,20137
"99","E01000106",4560,24046,7157,2007,30551,30648,19132,118101,16690
"100","E01000107",12906,25461,14008,2030,18717,23072,23037,119231,17060
"101","E01000108",5887,21702,3082,2098,22097,24834,18431,98131,10324
"102","E01000110",6615,15525,1913,1857,4008,18035,14671,62624,2331
"103","E01000111",6917,26994,7051,2095,28439,25379,25168,122043,17948
"104","E01000112",3624,16160,2182,2388,16361,20746,6350,67811,3123
"105","E01000113",3833,17572,1971,696,10484,23178,1026,58760,1772
"106","E01000114",3160,20103,984,576,15267,19528,24898,84516,6598
"107","E01000115",22561,5465,7037,12436,121,7941,6993,62554,2314
"108","E01000116",16563,8466,5785,5081,12507,11907,11248,71557,3819
"109","E01000117",20249,10759,9461,10311,2521,11705,600,65606,2788
"110","E01000118",13652,8336,2633,5868,4993,12968,997,49447,854
"111","E01000119",18017,8536,5879,5643,11087,13162,3228,65552,2781
"112","E01000120",19399,7699,5060,4926,680,10358,879,49001,820
"113","E01000121",8431,19139,28762,4845,31414,30161,3167,125919,19243
"114","E01000122",15492,5700,7747,2919,1614,11706,2965,48143,756
"115","E01000123",9612,5786,2093,14476,7202,13693,16014,68876,3299
"116","E01000124",6440,9606,5433,11747,23576,24030,27673,108505,13540
"117","E01000126",1788,14565,5548,5312,30900,29318,6867,94298,9220
"118","E01000127",5876,21406,6907,3100,29578,26475,982,94324,9231
"119","E01000128",5944,19135,4648,2883,27002,24835,5842,90289,8094
"120","E01000129",7628,24475,6080,6279,29986,27781,12356,114585,15563
"121","E01000130",5404,20048,10596,5454,28451,25908,2571,98432,10423
"122","E01000131",9010,13678,2493,4910,19158,19147,1352,69748,3466
"123","E01000132",2144,21876,5146,1013,30063,26042,72,86356,7069
"124","E01000133",5776,20906,12741,4296,30091,26123,5282,105215,12505
"125","E01000134",5044,18340,3807,2075,26684,25838,1391,83179,6289
"126","E01000135",18926,3032,14323,13142,4675,12772,6581,73451,4192
"127","E01000136",21372,2064,3610,12336,68,3417,21745,64612,2632
"128","E01000137",6351,10774,9481,3839,31160,28914,15334,105853,12698
"129","E01000138",10725,9970,6748,17158,10743,25382,8869,89595,7924
"130","E01000139",14118,2261,1659,15523,7517,13918,9037,64033,2540
"131","E01000140",5419,2392,4805,22434,17663,19376,12362,84451,6581
"132","E01000141",4352,10043,5123,21106,20479,22890,26421,110414,14186
"133","E01000142",9231,6564,9123,9546,15591,20386,24429,94870,9371
"134","E01000143",3861,11961,10003,8135,29310,29104,8683,101057,11188
"135","E01000144",7583,3399,4437,25820,8115,17195,16618,83167,6287
"136","E01000145",12877,8432,5211,7589,2916,14916,6044,57985,1705
"137","E01000146",7661,2532,7822,29045,13974,17320,13722,92076,8611
"138","E01000147",12014,18271,589,7576,537,14728,6647,60362,2009
"139","E01000150",10413,11306,1965,6545,20026,17752,25901,93908,9114
"140","E01000151",1310,22409,17447,652,33639,32467,8377,116301,16132
"141","E01000152",1009,5282,401,1555,29177,30268,10999,78691,5275
"142","E01000153",6315,15752,12436,3900,32803,30681,6480,108367,13495
"143","E01000154",3614,7992,4398,8562,31748,26806,12417,95537,9556
"144","E01000156",6190,2756,1335,1907,9280,12538,14309,48315,774
