"","SDZ","age_rank","edu_rank","disab_rank","children_rank","housing_rank","income_rank","final_BII_RANK","rank_sum","final_BDDI_RANK"
"1","N21000001",542,218,535,214,135,272,760,2676,306
"2","N21000002",576,133,23,503,200,255,283,1973,103
"3","N21000003",201,413,839,158,500,329,765,3205,497
"4","N21000004",696,605,724,675,562,253,718,4233,787
"5","N21000005",141,241,307,95,243,88,644,1759,77
"6","N21000006",237,171,513,44,60,208,684,1917,97
"7","N21000007",17,583,586,16,734,400,33,2369,216
"8","N21000008",86,128,403,177,107,393,312,1606,55
"9","N21000009",447,332,607,312,206,51,122,2077,127
"10","N21000010",220,562,269,114,532,239,322,2258,178
"11","N21000011",219,813,612,455,762,261,14,3136,472
"12","N21000012",438,746,761,542,647,517,349,4000,745
"13","N21000013",716,666,264,792,609,107,498,3652,663
"14","N21000014",187,771,550,270,730,455,194,3157,481
"15","N21000015",785,386,458,648,61,367,261,2966,406
"16","N21000016",306,805,817,488,761,486,459,4122,767
"17","N21000017",104,197,194,101,82,164,428,1270,22
"18","N21000018",735,614,388,807,551,114,552,3761,692
"19","N21000019",292,247,113,343,233,233,540,2001,111
"20","N21000020",260,300,655,178,424,383,379,2579,275
"21","N21000021",618,782,843,684,727,322,440,4416,812
"22","N21000022",276,321,49,364,279,132,184,1605,54
"23","N21000023",541,298,223,388,115,44,155,1764,78
"24","N21000024",588,202,79,358,134,144,687,2192,153
"25","N21000025",653,299,331,685,439,104,769,3280,519
"26","N21000026",602,162,234,336,1,68,792,2195,154
"27","N21000027",357,586,654,419,662,252,685,3615,652
"28","N21000028",805,365,83,781,248,135,512,2929,395
"29","N21000029",126,57,77,27,27,33,113,460,1
"30","N21000030",781,351,442,766,215,82,492,3129,469
"31","N21000031",666,28,205,345,6,31,457,1738,72
"32","N21000032",426,789,645,342,729,122,445,3498,608
"33","N21000033",562,21,690,266,2,12,716,2269,181
"34","N21000034",668,429,82,360,54,81,352,2026,115
"35","N21000035",153,836,696,325,817,528,156,3511,615
"36","N21000036",322,560,321,436,522,459,165,2785,348
"37","N21000037",446,154,148,294,102,73,197,1414,34
"38","N21000038",553,156,394,659,571,195,465,2993,421
"39","N21000039",413,569,347,467,311,313,38,2458,245
"40","N21000040",205,803,352,105,678,358,83,2584,276
"41","N21000041",497,615,782,543,597,428,71,3533,623
"42","N21000042",273,816,705,223,737,734,44,3532,622
"43","N21000043",324,825,625,762,810,714,64,4124,768
"44","N21000044",828,313,390,827,614,338,192,3502,611
"45","N21000045",408,646,666,566,651,596,89,3622,655
"46","N21000046",570,760,729,779,776,676,237,4527,824
"47","N21000047",325,783,527,104,797,421,303,3260,514
"48","N21000048",434,641,492,304,714,339,304,3228,500
"49","N21000049",848,499,286,816,247,40,432,3168,485
"50","N21000050",317,99,102,180,3,21,328,1050,12
"51","N21000051",537,474,161,440,144,74,573,2403,229
"52","N21000052",521,664,601,552,607,165,88,3198,492
"53","N21000053",745,390,562,677,116,35,354,2879,372
"54","N21000054",747,326,71,560,117,194,93,2108,131
"55","N21000055",712,623,828,720,685,268,134,3970,739
"56","N21000056",410,288,204,261,31,79,188,1461,38
"57","N21000057",669,180,270,534,150,56,342,2201,156
"58","N21000058",79,262,412,146,65,113,389,1466,39
"59","N21000059",829,118,844,736,176,86,244,3033,442
"60","N21000060",495,177,847,484,166,173,563,2905,388
"61","N21000061",635,199,40,351,104,187,597,2113,133
"62","N21000062",55,149,206,21,219,97,388,1135,19
"63","N21000063",4,50,129,6,33,90,419,731,5
"64","N21000064",143,134,366,259,32,121,794,1849,90
"65","N21000065",470,244,292,346,69,327,797,2545,261
"66","N21000066",132,501,647,68,574,176,747,2845,361
"67","N21000067",139,462,166,212,345,211,581,2116,135
"68","N21000068",613,460,357,316,276,628,743,3393,565
"69","N21000069",656,104,742,328,230,666,615,3341,541
"70","N21000070",522,690,514,510,630,645,421,3932,727
"71","N21000071",278,667,808,139,565,746,441,3644,662
"72","N21000072",365,409,452,144,414,584,630,2998,424
"73","N21000073",346,790,746,750,752,784,569,4737,838
"74","N21000074",373,357,193,54,234,532,527,2270,182
"75","N21000075",280,229,637,198,402,197,474,2417,235
"76","N21000076",350,375,243,159,119,440,683,2369,217
"77","N21000077",364,325,551,200,132,767,665,3004,427
"78","N21000078",344,651,592,344,560,834,372,3697,681
"79","N21000079",266,464,500,119,363,343,783,2838,358
"80","N21000080",548,343,578,302,108,424,710,3013,432
"81","N21000081",250,494,114,48,323,347,340,1916,96
"82","N21000082",179,839,693,239,754,644,190,3538,624
"83","N21000083",73,754,558,338,613,772,144,3252,509
"84","N21000084",358,657,107,811,617,799,272,3621,654
"85","N21000085",457,827,549,576,759,705,305,4178,776
"86","N21000086",801,551,711,680,517,251,392,3903,722
"87","N21000087",376,358,447,320,305,477,763,3046,444
"88","N21000088",70,748,98,145,625,702,301,2689,312
"89","N21000089",117,730,468,619,516,818,174,3442,587
"90","N21000090",700,630,139,495,388,690,256,3298,528
"91","N21000091",749,703,117,520,581,531,399,3600,645
"92","N21000092",69,353,443,78,256,544,308,2051,120
"93","N21000093",623,402,182,367,66,497,570,2707,320
"94","N21000094",240,280,436,137,130,209,720,2152,147
"95","N21000095",209,362,324,174,184,162,700,2115,134
"96","N21000096",257,537,86,173,475,466,402,2396,225
"97","N21000097",125,725,701,116,679,627,47,3020,436
"98","N21000098",159,828,791,132,783,660,84,3437,586
"99","N21000099",20,148,138,17,46,305,380,1054,14
"100","N21000100",29,566,350,9,133,590,319,1996,107
"101","N21000101",525,164,314,427,254,259,183,2126,140
"102","N21000102",124,217,522,64,231,213,202,1573,49
"103","N21000103",733,699,664,721,611,513,224,4165,772
"104","N21000104",450,400,164,456,267,102,418,2257,177
"105","N21000105",458,188,155,102,22,127,293,1345,27
"106","N21000106",555,150,131,410,17,115,367,1745,74
"107","N21000107",170,264,368,106,278,167,600,1953,100
"108","N21000108",385,226,39,196,158,287,425,1716,70
"109","N21000109",312,72,127,330,10,112,159,1122,18
"110","N21000110",53,286,429,8,62,427,326,1591,51
"111","N21000111",282,819,676,486,619,646,528,4056,757
"112","N21000112",138,593,329,297,307,472,554,2690,313
"113","N21000113",535,757,682,804,641,822,507,4748,840
"114","N21000114",121,163,29,81,354,377,274,1399,32
"115","N21000115",377,317,381,371,350,120,249,2165,151
"116","N21000116",287,717,455,652,634,715,255,3715,686
"117","N21000117",795,823,767,805,793,514,263,4760,841
"118","N21000118",34,505,418,10,239,345,253,1804,85
"119","N21000119",463,521,372,326,430,397,277,2786,349
"120","N21000120",347,766,398,400,675,840,236,3662,666
"121","N21000121",285,712,462,280,652,368,247,3006,428
"122","N21000122",760,479,144,556,103,133,81,2256,175
"123","N21000123",355,658,211,309,455,341,219,2548,266
"124","N21000124",371,211,60,315,291,276,502,2026,116
"125","N21000125",272,123,132,168,191,241,593,1720,71
"126","N21000126",709,222,265,553,203,217,504,2673,305
"127","N21000127",140,152,178,293,317,474,805,2359,213
"128","N21000128",72,293,532,113,454,318,625,2407,231
"129","N21000129",374,508,699,402,594,291,671,3539,626
"130","N21000130",399,212,118,335,212,279,499,2054,121
"131","N21000131",253,145,103,130,190,182,574,1577,50
"132","N21000132",597,256,537,365,101,352,652,2860,364
"133","N21000133",587,207,267,359,140,376,673,2609,287
"134","N21000134",87,228,528,84,330,570,691,2518,257
"135","N21000135",414,341,217,150,244,589,714,2669,302
"136","N21000136",229,290,73,126,385,384,618,2105,130
"137","N21000137",301,659,224,409,569,489,655,3306,532
"138","N21000138",569,135,20,391,126,263,551,2055,122
"139","N21000139",546,733,595,547,708,394,295,3818,704
"140","N21000140",539,678,813,742,578,585,557,4492,818
"141","N21000141",600,308,238,482,334,447,660,3069,450
"142","N21000142",667,780,475,771,772,289,580,4334,800
"143","N21000143",122,397,176,120,5,465,310,1595,52
"144","N21000144",387,235,75,281,174,183,403,1738,73
"145","N21000145",533,125,237,298,41,218,567,2019,114
"146","N21000146",554,315,195,268,122,587,772,2813,352
"147","N21000147",249,368,683,190,374,583,755,3202,494
"148","N21000148",295,364,499,197,339,652,702,3048,445
"149","N21000149",596,633,540,389,572,623,110,3463,599
"150","N21000150",281,428,116,221,222,301,553,2122,137
"151","N21000151",584,419,834,521,380,143,6,2887,379
"152","N21000152",321,450,589,129,250,580,233,2552,270
"153","N21000153",566,412,5,262,192,374,559,2370,218
"154","N21000154",763,363,172,474,173,283,704,2932,397
"155","N21000155",443,724,186,504,561,677,140,3235,505
"156","N21000156",252,232,297,209,139,340,544,2013,112
"157","N21000157",430,414,496,206,444,751,712,3453,594
"158","N21000158",293,563,707,186,539,750,601,3639,659
"159","N21000159",349,405,488,98,217,689,750,2996,423
"160","N21000160",267,454,505,71,288,779,711,3075,456
"161","N21000161",48,674,614,22,694,619,201,2872,368
"162","N21000162",191,695,743,217,719,571,168,3304,531
"163","N21000163",360,538,316,616,325,420,112,2687,311
"164","N21000164",24,349,712,20,618,647,240,2610,288
"165","N21000165",313,631,260,517,653,511,135,3020,437
"166","N21000166",648,774,323,624,736,760,54,3919,726
"167","N21000167",361,456,598,600,537,624,74,3250,508
"168","N21000168",82,762,613,193,802,785,133,3370,555
"169","N21000169",68,800,287,166,731,813,211,3076,457
"170","N21000170",203,768,787,331,758,692,9,3548,629
"171","N21000171",83,720,781,428,773,831,46,3662,667
"172","N21000172",75,821,764,111,831,787,213,3602,648
"173","N21000173",391,810,407,438,688,819,142,3695,680
"174","N21000174",149,831,792,232,835,835,204,3878,718
"175","N21000175",94,744,766,465,815,774,34,3692,678
"176","N21000176",290,840,510,797,843,789,334,4403,811
"177","N21000177",421,844,806,664,840,673,151,4399,809
"178","N21000178",305,767,574,712,821,695,75,3949,732
"179","N21000179",311,281,668,565,506,434,381,3146,476
"180","N21000180",248,580,587,441,635,656,210,3357,549
"181","N21000181",451,513,757,676,658,595,404,4054,755
"182","N21000182",660,16,280,310,64,160,128,1618,58
"183","N21000183",503,677,304,697,712,311,538,3742,690
"184","N21000184",691,38,552,471,20,196,118,2086,129
"185","N21000185",375,333,415,369,452,67,35,2046,119
"186","N21000186",658,388,413,575,692,480,325,3531,621
"187","N21000187",583,75,226,476,292,95,154,1901,94
"188","N21000188",397,384,101,799,286,210,149,2326,204
"189","N21000189",393,452,636,531,664,168,28,2872,369
