"","DZ_code","age_rank","edu_rank","disab_rank","children_rank","housing_rank","income_rank","final_BII_RANK","rank_sum","final_BDDI_RANK"
"1","S01006506",3331,1159,2103,5187,2537,2887,5981,23185,2850
"2","S01006507",5868,3788,2518,2499,4338,1747,3728,24486,3190
"3","S01006508",1365,973,1226,4923,2003,2173,3667,16330,1301
"4","S01006509",5045,3274,3252,3021,4154,3457,5549,27752,4261
"5","S01006510",5318,3732,5060,4553,3692,3458,4301,30114,5093
"6","S01006511",5502,1766,2817,2523,2812,1266,6077,22763,2729
"7","S01006512",5147,818,869,830,869,266,5737,14536,954
"8","S01006513",5988,1054,913,5284,195,267,6246,19947,2078
"9","S01006514",3115,458,779,699,966,268,6378,12663,646
"10","S01006515",2254,318,498,460,1239,12,6056,10837,429
"11","S01006516",2944,376,888,4286,965,269,6152,15880,1220
"12","S01006517",1601,453,349,5679,1576,270,6673,16601,1361
"13","S01006518",4975,251,806,1433,151,13,5900,13529,785
"14","S01006519",3826,528,969,371,293,271,5357,11615,514
"15","S01006520",534,115,74,68,163,14,6065,7033,132
"16","S01006521",2066,127,152,492,553,15,3459,6864,118
"17","S01006522",1845,143,232,1142,321,1,2308,5992,80
"18","S01006523",4335,397,1697,2581,1076,754,5672,16512,1340
"19","S01006524",5610,1224,4508,5986,1156,3459,4273,26216,3727
"20","S01006525",5314,532,916,3398,2123,755,4519,17557,1565
"21","S01006526",1776,3413,3326,4994,6019,3940,1532,25000,3348
"22","S01006527",1471,4632,2594,6118,4104,4826,1727,25472,3505
"23","S01006528",1136,2566,1861,5004,4283,3190,1713,19753,2037
"24","S01006529",2118,1920,2513,6204,4131,3191,1269,21346,2387
"25","S01006530",1882,3575,4955,5774,5587,4638,1068,27479,4163
"26","S01006531",2669,4282,5214,3674,6264,5166,531,27800,4276
"27","S01006532",6340,1293,3861,5106,1445,1267,1345,20657,2240
"28","S01006533",3192,364,1090,3598,241,272,397,9154,275
"29","S01006534",2525,313,694,2559,713,273,726,7803,171
"30","S01006535",1589,270,404,5944,1330,756,2565,12858,673
"31","S01006536",1064,257,619,6353,1749,1268,1142,12452,618
"32","S01006537",6242,821,959,4782,967,274,2231,16276,1291
"33","S01006538",4707,549,2211,3527,609,16,1256,12875,679
"34","S01006539",5476,754,2123,3384,1099,275,703,13814,833
"35","S01006540",2939,551,1719,4041,822,276,2366,12714,656
"36","S01006541",5652,1082,2744,5171,3578,757,556,19540,1987
"37","S01006542",4717,951,1203,5574,676,17,844,13982,860
"38","S01006543",4626,1066,3176,4301,523,277,1416,15385,1120
"39","S01006544",2772,422,881,5689,942,278,2888,13872,840
"40","S01006545",5378,762,2506,6046,2180,758,392,18022,1671
"41","S01006546",5158,496,2000,2239,1,279,1420,11593,510
"42","S01006547",1803,2463,545,6677,3132,2888,4590,22098,2565
"43","S01006548",5849,559,1780,4016,251,280,2772,15507,1141
"44","S01006549",4988,568,2294,4665,1127,18,2458,16118,1257
"45","S01006550",6156,530,3337,3513,70,19,2272,15897,1223
"46","S01006551",4092,3942,5309,5484,6214,4989,4820,34850,6360
"47","S01006552",3687,708,1376,4426,1121,759,1360,13437,776
"48","S01006553",5823,3085,5552,4809,4767,1748,1841,27625,4207
"49","S01006554",3807,3022,3298,5494,3742,3192,2484,25039,3363
"50","S01006555",1137,3716,4537,2034,5527,4411,1676,23038,2804
"51","S01006556",4088,5381,6711,4399,6016,4827,1675,33097,6013
"52","S01006557",3147,5203,5511,3705,6380,4990,373,29309,4796
"53","S01006558",3483,311,1644,6397,221,760,3126,15942,1228
"54","S01006559",3601,191,418,2184,2088,20,1765,10267,363
"55","S01006560",3140,642,2715,2970,2395,281,1519,13662,810
"56","S01006561",3782,273,1388,1580,812,21,776,8632,233
"57","S01006562",2770,1525,2243,5765,3556,2174,1686,19719,2028
"58","S01006563",1696,780,2850,2468,2225,1269,6620,17908,1638
"59","S01006564",1337,1232,2602,6336,4874,3460,4028,23869,3024
"60","S01006565",390,601,1690,6885,3821,3193,1028,17608,1579
"61","S01006566",973,221,683,6599,1720,1749,636,12581,632
"62","S01006567",1173,662,4041,6875,4979,4184,2133,24047,3071
"63","S01006568",322,95,234,6851,1379,761,2542,12184,585
"64","S01006569",1278,314,818,5866,2833,2175,2087,15371,1118
"65","S01006570",1143,233,807,3734,1101,22,875,7915,179
"66","S01006571",1308,83,602,5050,1702,762,978,10485,401
"67","S01006572",3250,294,591,1350,475,23,1168,7151,140
"68","S01006573",817,97,368,871,696,282,813,3944,23
"69","S01006574",2674,173,856,2801,975,283,1901,9663,312
"70","S01006575",1239,301,887,2016,434,24,354,5255,53
"71","S01006576",718,161,688,2029,610,284,358,4848,44
"72","S01006577",951,180,316,6148,1343,285,3246,12469,621
"73","S01006578",560,514,1796,6770,2254,1750,714,14358,926
"74","S01006579",105,136,303,6842,1397,763,1134,10680,416
"75","S01006580",521,246,754,6424,1284,1270,1741,12240,596
"76","S01006581",3088,329,962,3278,473,25,3114,11269,469
"77","S01006582",528,403,371,6752,2818,1271,6328,18471,1771
"78","S01006583",12,129,217,6924,1288,1751,5525,15846,1212
"79","S01006584",381,181,143,6501,1694,286,2854,12040,563
"80","S01006585",685,1928,1963,6734,4896,3941,2462,22609,2685
"81","S01006586",1477,830,2325,6947,4499,2889,4807,23774,3008
"82","S01006587",50,408,503,6812,4195,4412,5028,21408,2404
"83","S01006588",68,168,237,6886,2684,2176,5731,17950,1643
"84","S01006589",163,703,844,6613,4699,3194,3331,19547,1990
"85","S01006590",88,477,573,6833,2166,2890,4969,17996,1660
"86","S01006591",318,436,344,5999,1930,2177,60,11264,468
"87","S01006592",108,187,57,6411,444,26,1580,8813,246
"88","S01006593",434,217,617,6603,598,764,2435,11668,521
