"","LSOA","age_rank","edu_rank","disab_rank","children_rank","housing_rank","income_rank","final_BII_RANK","rank_sum","final_BDDI_RANK"
"1","W01000003",1077,1118,1199,1071,1341,1505,1362,8673,1591
"2","W01000004",1805,725,1005,1657,1034,798,1608,8632,1580
"3","W01000005",1874,571,1318,1785,1247,1007,1418,9220,1725
"4","W01000006",1429,637,722,1335,749,670,1060,6602,822
"5","W01000007",1727,526,503,1500,664,751,1321,6992,956
"6","W01000008",1714,312,711,1345,651,374,639,5746,573
"7","W01000009",1238,851,781,861,1098,1113,1723,7665,1229
"8","W01000010",1894,703,615,1806,295,552,1472,7337,1101
"9","W01000011",1761,117,635,1894,792,519,952,6670,845
"10","W01000012",1538,701,786,1275,1403,628,1731,8062,1387
"11","W01000013",1618,124,176,1226,455,160,1703,5462,502
"12","W01000014",718,664,412,540,1359,1004,1261,5958,628
"13","W01000015",1844,281,338,1499,550,385,796,5693,562
"14","W01000016",363,1538,1228,1027,1154,1811,1076,8197,1432
"15","W01000017",474,1467,839,442,1414,1617,561,6814,899
"16","W01000018",1817,871,1416,1704,1102,1163,1431,9504,1776
"17","W01000019",1911,722,1377,1888,404,657,1326,8285,1470
"18","W01000021",1625,498,1096,1656,746,837,1124,7582,1197
"19","W01000022",1441,930,673,1425,814,955,1718,7956,1343
"20","W01000023",973,1158,630,668,1278,1036,988,6731,863
"21","W01000024",116,447,279,72,638,929,1370,3851,202
"22","W01000025",882,457,191,716,861,699,1573,5379,486
"23","W01000026",1852,587,1317,1736,955,942,1558,8947,1670
"24","W01000027",1344,527,944,747,1092,840,1219,6713,851
"25","W01000028",995,693,367,703,1313,1072,892,6035,649
"26","W01000029",416,1458,1365,286,1429,1677,1331,7962,1344
"27","W01000030",788,1575,1269,614,1639,1676,1460,9021,1684
"28","W01000031",1533,766,1011,1574,850,1046,977,7757,1265
"29","W01000033",1025,1729,1438,1042,1851,1736,1226,10047,1859
"30","W01000034",1139,835,425,605,1191,943,1351,6489,787
"31","W01000035",1602,357,1060,1445,853,782,989,7088,989
"32","W01000036",289,1702,1446,611,1648,1693,673,8062,1388
"33","W01000037",1205,1324,1162,714,1219,1189,921,7734,1257
"34","W01000038",1554,603,1046,1482,1087,1128,1300,8200,1434
"35","W01000040",1876,347,736,1878,48,517,1716,7118,1005
"36","W01000041",302,1490,536,64,1888,1734,1201,7215,1054
"37","W01000042",915,340,449,1076,1130,757,794,5461,501
"38","W01000044",1850,878,835,1710,175,253,1046,6747,874
"39","W01000047",1516,682,322,1305,936,576,1010,6347,739
"40","W01000050",1226,169,476,1106,774,996,774,5521,514
"41","W01000051",1181,1125,207,1388,1498,989,1134,7522,1173
"42","W01000052",1228,494,397,374,744,274,1488,4999,402
"43","W01000053",831,176,242,1137,377,259,1396,4418,300
"44","W01000054",1474,573,364,1534,905,458,1344,6652,835
"45","W01000056",594,870,687,757,1303,1303,653,6167,681
"46","W01000057",1777,574,460,1787,624,465,1810,7497,1161
"47","W01000059",826,1233,1048,744,1703,1622,907,8083,1397
"48","W01000060",1395,403,644,1794,752,726,1094,6808,897
"49","W01000061",1882,624,1002,1773,1086,777,1800,8944,1669
"50","W01000062",26,32,641,1899,1362,456,1436,5852,598
"51","W01000063",546,669,580,707,1372,1176,1297,6347,740
"52","W01000064",246,450,156,101,1402,1060,1100,4515,317
"53","W01000065",1292,1380,1003,1543,1196,1225,1371,9010,1680
"54","W01000066",1803,473,953,1620,883,765,1542,8039,1378
"55","W01000067",1458,652,655,1800,619,527,1161,6872,914
"56","W01000068",1353,1133,842,1372,1527,820,1286,8333,1493
"57","W01000070",1351,596,277,1382,669,643,959,5877,607
"58","W01000071",415,290,362,838,926,1127,1533,5491,507
"59","W01000072",800,213,406,883,1409,654,851,5216,441
"60","W01000073",1408,270,316,1051,791,514,1601,5951,627
"61","W01000074",1831,716,1020,1844,798,806,1619,8634,1582
"62","W01000075",220,302,1303,1528,1605,1097,944,6999,963
"63","W01000076",236,44,816,1850,983,627,1445,6001,639
"64","W01000077",223,162,983,1763,1589,870,1376,6966,949
"65","W01000078",1233,784,833,1349,1107,1210,1206,7722,1253
"66","W01000080",1797,631,822,1793,1399,848,1612,8902,1662
"67","W01000081",817,483,489,1035,1226,914,1264,6228,695
"68","W01000082",1352,893,335,1385,894,617,1841,7317,1094
"69","W01000083",982,397,66,779,356,370,1541,4491,314
"70","W01000084",1600,778,245,1834,719,368,1186,6730,861
"71","W01000085",1868,849,1285,1866,604,1104,1686,9262,1736
"72","W01000086",1084,645,719,943,1236,1063,1634,7324,1096
"73","W01000087",1055,453,333,331,1063,584,995,4814,364
"74","W01000088",902,326,301,337,811,827,1379,4883,385
"75","W01000089",1372,550,321,1277,720,440,990,5670,553
"76","W01000090",257,1660,925,50,1893,1737,839,7361,1110
"77","W01000091",192,1383,975,245,1879,1756,1311,7741,1259
"78","W01000092",35,9,332,1902,884,10,750,3922,218
"79","W01000093",1638,240,803,1510,530,480,674,5875,605
"80","W01000094",1496,621,468,1237,916,722,1282,6742,870
"81","W01000095",1470,942,560,1255,1294,821,941,7283,1082
"82","W01000096",714,805,792,288,1536,1247,975,6357,747
"83","W01000097",502,748,642,1047,1285,1151,1083,6458,784
"84","W01000098",124,1373,383,106,1852,1815,797,6450,779
"85","W01000099",1013,229,528,1049,688,698,1353,5558,525
"86","W01000100",1440,399,504,1455,1144,606,1656,7204,1049
"87","W01000101",1063,824,484,1147,1187,631,1486,6822,902
"88","W01000102",681,121,278,123,1375,279,1026,3883,210
"89","W01000103",972,276,366,1462,885,898,758,5617,541
"90","W01000104",1199,918,1000,1209,1394,1218,732,7670,1233
"91","W01000105",1096,1251,457,780,1183,728,1235,6730,862
"92","W01000106",1910,416,1354,1897,696,407,910,7590,1200
"93","W01000107",1530,556,525,1686,1448,784,1233,7762,1269
"94","W01000108",1137,1293,603,1563,1366,1065,1342,8369,1506
"95","W01000109",1185,1274,624,1018,1526,1196,1630,8453,1523
"96","W01000110",782,1047,427,367,1385,944,1202,6154,675
"97","W01000111",1346,1256,1481,1670,1457,1159,1182,9551,1783
"98","W01000112",837,898,1078,873,1135,1310,1092,7223,1058
"99","W01000113",1134,972,699,1075,1012,1110,1627,7629,1216
"100","W01000114",1360,1021,450,1501,1202,716,1807,8057,1386
"101","W01000115",805,221,354,598,963,687,1273,4901,387
"102","W01000116",1908,1141,1331,1879,387,649,1509,8804,1631
"103","W01000117",1566,1529,1471,1489,1532,1297,1437,10321,1879
"104","W01000118",1058,308,302,800,898,805,1589,5760,577
"105","W01000119",899,206,289,1122,595,417,1174,4702,345
"106","W01000121",1370,479,252,1742,927,467,1758,6995,958
"107","W01000122",1446,502,458,1341,751,477,1521,6496,789
"108","W01000123",1131,579,1536,1220,1336,1051,428,7281,1081
"109","W01000124",1725,388,483,1691,623,422,1205,6537,805
"110","W01000125",1422,505,545,1410,609,787,576,5854,600
"111","W01000126",836,381,379,510,403,808,697,4014,234
"112","W01000127",927,1354,1808,799,1585,1827,1252,9552,1785
"113","W01000128",1276,676,1093,751,1082,1157,741,6776,885
"114","W01000129",1177,953,1361,1171,1519,1533,604,8318,1488
"115","W01000130",1791,572,1022,1854,298,396,1156,7089,990
"116","W01000131",884,462,154,330,1190,521,559,4100,250
"117","W01000132",1526,800,1650,1767,290,1240,89,7362,1111
"118","W01000133",1914,485,1616,1843,247,450,882,7437,1137
"119","W01000134",1505,1033,1243,1298,1352,1126,852,8409,1515
"120","W01000135",1913,424,1186,1877,35,197,447,6079,658
"121","W01000136",1748,488,1157,1680,923,634,239,6869,913
"122","W01000137",1385,405,388,1332,324,356,1847,6037,650
"123","W01000138",1319,627,1040,1383,1463,1434,1005,8271,1466
"124","W01000139",1057,504,369,715,554,792,341,4332,281
"125","W01000140",952,890,1109,996,1176,1474,920,7517,1169
"126","W01000141",1917,780,1510,1881,209,615,90,7002,965
"127","W01000142",1903,767,920,1857,51,149,613,6260,708
"128","W01000143",365,850,1192,307,502,1437,169,4822,367
"129","W01000144",211,1381,1756,566,1360,1897,1149,8320,1489
"130","W01000145",847,814,1625,506,1602,1346,900,7640,1218
"131","W01000146",1451,815,1233,1852,289,1175,636,7451,1143
"132","W01000147",1907,974,1372,1860,366,1015,807,8301,1480
"133","W01000148",829,1029,177,437,1093,980,565,5110,421
"134","W01000149",1845,1807,1897,1481,156,1543,1439,10168,1873
"135","W01000150",1587,969,1289,1373,63,1211,1295,7787,1276
"136","W01000151",633,1483,1558,198,1357,1393,1603,8225,1443
"137","W01000152",1364,1482,1836,1159,374,1316,1692,9223,1730
"138","W01000153",1737,663,1316,1748,662,619,736,7481,1154
"139","W01000154",1855,569,1513,1695,132,300,1296,7360,1109
"140","W01000155",1891,465,1223,1694,80,678,1483,7514,1167
"141","W01000156",1912,585,1526,1890,616,863,1446,8838,1644
"142","W01000157",1060,875,1523,769,1607,1514,1284,8632,1581
"143","W01000158",1909,548,1600,1859,760,692,1122,8490,1537
"144","W01000159",1435,929,491,1182,681,483,1883,7084,988
"145","W01000162",1163,617,442,1260,771,522,1548,6323,729
"146","W01000163",269,1410,1348,63,1819,1833,779,7521,1171
"147","W01000164",373,691,454,206,555,916,707,3902,214
"148","W01000165",1848,378,530,1709,6,177,321,4969,395
"149","W01000166",605,768,446,347,1090,918,677,4851,378
"150","W01000167",702,1163,1051,385,1339,1374,1123,7137,1012
"151","W01000168",938,1181,945,563,1328,1425,374,6754,877
"152","W01000169",1518,1326,1801,1846,1427,1261,726,9905,1844
"153","W01000170",1368,352,688,1243,593,746,1065,6055,655
"154","W01000171",1500,711,1420,1442,1242,1201,691,8207,1436
"155","W01000172",580,872,1136,1136,1160,1509,780,7173,1033
"156","W01000173",988,374,81,748,99,199,1602,4091,249
"157","W01000174",1696,393,474,1244,114,173,1391,5485,506
"158","W01000175",1916,512,960,1887,16,154,1218,6663,843
"159","W01000176",350,1136,671,391,994,1249,551,5342,480
"160","W01000177",825,558,150,520,590,992,712,4347,286
"161","W01000178",1024,1311,1790,479,1656,1728,778,8766,1621
"162","W01000179",1863,799,1380,1626,305,433,809,7215,1055
"163","W01000180",1409,147,512,913,36,135,1031,4183,264
"164","W01000181",478,219,142,429,30,323,278,1899,34
"165","W01000182",1799,1177,1875,1835,944,1723,1340,10693,1899
"166","W01000183",1770,429,1498,1759,668,949,1035,8108,1408
"167","W01000184",1719,1646,1737,1723,637,1435,894,9791,1828
"168","W01000185",1161,774,675,1343,766,772,1271,6762,879
"169","W01000186",1303,1542,1653,1642,1798,1516,856,10310,1877
"170","W01000187",263,1733,1682,236,1906,1861,782,8463,1527
"171","W01000188",1691,820,804,1701,835,709,177,6737,866
"172","W01000189",1195,415,137,1585,1046,541,1863,6782,888
"173","W01000190",1405,675,153,1239,818,405,1811,6506,791
"174","W01000191",855,834,705,627,862,921,1747,6551,810
"175","W01000192",1676,966,955,1664,964,701,1757,8683,1600
"176","W01000193",967,1424,490,1315,1423,1028,1354,8001,1360
"177","W01000194",773,685,1533,1553,778,1270,1534,8126,1414
"178","W01000195",1694,313,328,1490,369,163,1620,5977,633
"179","W01000196",507,385,146,222,359,338,752,2709,69
"180","W01000197",1189,581,538,982,1120,478,1018,5906,616
"181","W01000198",640,1726,1880,240,1905,1749,1419,9559,1787
"182","W01000199",792,912,1429,762,1391,1296,1382,7964,1345
"183","W01000200",1136,410,566,1003,149,640,1374,5278,458
"184","W01000201",690,994,1202,326,1293,1378,1687,7570,1190
"185","W01000202",1145,458,202,922,504,265,1491,4987,398
"186","W01000203",1540,294,318,1580,564,239,1688,6223,693
"187","W01000204",1668,255,294,1607,922,112,1387,6245,701
"188","W01000205",1483,817,432,1408,1031,455,1720,7346,1105
"189","W01000206",1093,469,533,926,858,348,1159,5386,490
"190","W01000207",1334,439,171,970,675,262,1652,5503,510
"191","W01000208",1650,678,1082,1818,863,695,1809,8595,1567
"192","W01000209",1345,765,851,1338,1544,1027,991,7861,1304
"193","W01000210",1767,418,1070,1628,612,625,1804,7924,1333
"194","W01000211",1568,476,600,1411,630,295,1900,6880,918
